날짜,자산
2025-09-15,10000000.0
2025-09-16,9999566.5533497
2025-09-17,9984266.5533497
2025-09-18,10125268.8631952
2025-09-19,10083826.6799502
2025-09-22,10101372.2176954
2025-09-23,9824613.144398017
2025-09-24,9726172.452285018
2025-09-25,9681172.452285018
2025-09-26,9476439.265534917
2025-09-29,9549039.265534917
2025-09-30,9458525.609270915
2025-10-01,9424135.593182757
2025-10-02,9465303.557946756
2025-10-10,9513259.009086756
2025-10-13,9503459.009086756
2025-10-14,9454271.55478822
2025-10-15,9523471.55478822
2025-10-16,9543928.517486282
2025-10-17,9264739.503667288
2025-10-20,9276666.160090458
2025-10-21,9289103.205483258
2025-10-22,9293677.959688958
2025-10-23,9095486.185445357
2025-10-24,9172434.194895959
2025-10-27,9401554.744554061
2025-10-28,9432213.39243726
2025-10-29,9495927.447136573
2025-10-30,9402713.274116823
2025-10-31,9434855.649914425
2025-11-03,9483322.377991524
2025-11-04,9245667.844325125
2025-11-05,9109830.870402064
2025-11-06,9188230.870402064
2025-11-07,9123737.027495265
2025-11-10,9245581.642703164
2025-11-11,9384878.715474235
2025-11-12,9421182.624279734
2025-11-13,9249634.169649035
2025-11-14,9111382.299111394
2025-11-17,9105964.814568821
2025-11-18,8946563.570245892
2025-11-19,8934673.714322653
2025-11-20,8934673.714322653
2025-11-21,8886086.412791952
2025-11-24,8743746.028618302
2025-11-25,8670353.116757296
2025-11-26,8876707.297538295
2025-11-27,8825493.840972494
2025-11-28,8877351.422639495
2025-12-01,8777908.210165694
2025-12-02,8713808.210165694
2025-12-03,8637371.700344596
2025-12-04,8587821.700344596
2025-12-05,8906321.807231395
2025-12-08,8752805.337960396
2025-12-09,8675334.979015395
2025-12-10,8542374.582484394
2025-12-11,8471005.953463554
2025-12-12,8498578.678548817
2025-12-15,8478693.067003015
2025-12-16,8478693.067003015
2025-12-17,8552419.321689058
2025-12-18,8544699.108412258
2025-12-19,8482998.569998473
2025-12-22,8576498.569998473
2025-12-23,8509145.889482053
2025-12-24,8498545.889482053
2025-12-26,8354771.462630703
2025-12-29,8470774.772836141
2025-12-30,8530924.772836141
2026-01-02,8516938.213532861
2026-01-05,8577634.920602262
2026-01-06,8673570.070829181
2026-01-07,8594632.74015473
2026-01-08,8581823.07045381
2026-01-09,8581823.07045381
2026-01-12,8379196.534454409
2026-01-13,8590296.534454409
2026-01-14,8546163.372191409
2026-01-15,8951373.50850151
2026-01-16,8755058.76448091
2026-01-19,9133935.974941108
2026-01-20,9188171.08447956
2026-01-21,9280538.00214064
2026-01-22,9585797.85801354
2026-01-23,9494681.43896174
2026-01-26,9575599.61876774
2026-01-27,9793694.46054234
2026-01-28,10233929.61659854
2026-01-29,10426397.645066041
2026-01-30,10537311.680414421
2026-02-02,10439323.378419923
2026-02-03,10439323.378419923
2026-02-04,10780848.130981874
2026-02-05,10337811.881649861
2026-02-06,10285154.94104636
2026-02-09,10258154.94104636
2026-02-10,10204450.11026956
2026-02-11,10394068.726758076
2026-02-12,10386068.726758076
2026-02-13,10538895.779618207
2026-02-19,10924285.294590008
2026-02-20,10816053.301978722
2026-02-23,10827143.301978722
2026-02-24,10665734.091391062
2026-02-25,10584203.235184882
2026-02-26,10856865.042729782
2026-02-27,10921163.533353582
2026-03-03,10413507.718027655
2026-03-04,10267780.878776051
2026-03-05,10267780.878776051
2026-03-06,10102799.555257643
2026-03-09,9834212.726526434
2026-03-10,9834212.726526434
2026-03-11,9442938.352477405
2026-03-12,9442938.352477405
2026-03-13,9119456.793324381
